10:19:41.573 [restartedMain] INFO  c.e.project.SpringExampleApplication - Starting SpringExampleApplication using Java 17.0.2 with PID 30604 (C:\Users\emau7\workspace-Epicode_FS0123\SpringExample\target\classes started by emau7 in C:\Users\emau7\workspace-Epicode_FS0123\SpringExample)
10:19:41.585 [restartedMain] INFO  c.e.project.SpringExampleApplication - No active profile set, falling back to 1 default profile: "default"
10:19:41.635 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:19:42.335 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:19:42.359 [restartedMain] INFO  c.e.project.SpringExampleApplication - Started SpringExampleApplication in 1.245 seconds (process running for 2.408)
10:21:56.043 [restartedMain] INFO  c.e.project.SpringExampleApplication - Starting SpringExampleApplication using Java 17.0.2 with PID 17460 (C:\Users\emau7\workspace-Epicode_FS0123\SpringExample\target\classes started by emau7 in C:\Users\emau7\workspace-Epicode_FS0123\SpringExample)
10:21:56.045 [restartedMain] INFO  c.e.project.SpringExampleApplication - No active profile set, falling back to 1 default profile: "default"
10:21:56.097 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:21:56.594 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:21:56.614 [restartedMain] INFO  c.e.project.SpringExampleApplication - Started SpringExampleApplication in 0.934 seconds (process running for 1.615)
11:05:39.667 [restartedMain] INFO  c.e.project.SpringExampleApplication - Starting SpringExampleApplication using Java 17.0.2 with PID 28372 (C:\Users\emau7\workspace-Epicode_FS0123\SpringExample\target\classes started by emau7 in C:\Users\emau7\workspace-Epicode_FS0123\SpringExample)
11:05:39.715 [restartedMain] INFO  c.e.project.SpringExampleApplication - No active profile set, falling back to 1 default profile: "default"
11:05:39.755 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
11:05:40.311 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
11:05:40.331 [restartedMain] INFO  c.e.project.SpringExampleApplication - Started SpringExampleApplication in 1.029 seconds (process running for 1.759)
